issue_type,location_type,duration_days,description,priority
garbage,alley,2,Pile of household waste blocking pedestrian path. immediate attention needed,high
streetlight,residential,14,Light out on the main road intersection,high
pothole,highway,1,"Pothole filled with water, hidden hazard",low
pothole,alley,23,Deep pothole causing vibration to vehicles,high
garbage,residential,0,Scattered trash on street after collection missed,low
drainage,alley,24,Standing water near drain after rain,high
pothole,highway,0,"Pothole filled with water, hidden hazard. hazardous",high
pothole,alley,15,Deep pothole causing vibration to vehicles,high
streetlight,main_road,5,Pole lamp broken and leaning. low priority,medium
streetlight,main_road,34,"Streetlight not working at night, area dark. please fix soon",medium
drainage,alley,0,"Drain clogged, water overflowing onto road. needs quick fix",high
pothole,main_road,5,Multiple potholes across the lane. needs quick fix low priority,medium
pothole,alley,24,Deep pothole causing vibration to vehicles,high
pothole,highway,5,"Large pothole on the road, car damage likely. please fix soon hazardous",high
drainage,highway,6,Sewage backup overflowing onto street,high
drainage,alley,8,Standing water near drain after rain,high
drainage,alley,4,Sewage backup overflowing onto street,high
pothole,highway,6,Deep pothole causing vibration to vehicles,medium
garbage,residential,6,Pile of household waste blocking pedestrian path. hazardous,high
pothole,main_road,16,Multiple potholes across the lane,high
streetlight,highway,0,Pole lamp broken and leaning. causing accidents,high
streetlight,highway,2,"Flickering streetlight, sparks visible. needs quick fix",high
pothole,highway,21,Small pothole near the curb. not urgent,high
streetlight,main_road,15,Light out on the main road intersection,medium
pothole,highway,4,"Large pothole on the road, car damage likely. urgent",medium
garbage,residential,6,Illegal dumping near drainage,medium
garbage,highway,2,Illegal dumping near drainage,low
pothole,residential,1,"Large pothole on the road, car damage likely",low
drainage,residential,4,Drainage blocked with garbage and leaves,high
pothole,residential,3,"Pothole filled with water, hidden hazard",medium
pothole,main_road,6,"Large pothole on the road, car damage likely. urgent",medium
streetlight,main_road,0,"Streetlight not working at night, area dark. hazardous",high
drainage,alley,25,Standing water near drain after rain,high
streetlight,main_road,29,Pole lamp broken and leaning. please fix soon,medium
pothole,highway,8,Small pothole near the curb,high
pothole,residential,5,Multiple potholes across the lane,medium
streetlight,highway,2,Light out on the main road intersection,high
drainage,residential,11,"Drain clogged, water overflowing onto road",high
pothole,main_road,8,Multiple potholes across the lane. urgent,high
garbage,residential,1,Pile of household waste blocking pedestrian path,high
pothole,alley,16,Deep pothole causing vibration to vehicles. not urgent,high
streetlight,residential,12,"Streetlight not working at night, area dark. urgent",high
drainage,main_road,20,Sewage backup overflowing onto street,high
pothole,alley,9,Small pothole near the curb,medium
pothole,alley,6,"Large pothole on the road, car damage likely. please fix soon",medium
streetlight,main_road,3,Light out on the main road intersection. needs quick fix,medium
drainage,main_road,18,"Open drainage cover, dangerous for pedestrians. not urgent low priority",high
pothole,residential,14,"Large pothole on the road, car damage likely",high
streetlight,highway,0,"Flickering streetlight, sparks visible",high
garbage,highway,0,"Garbage dumped near sidewalk, attracting animals. causing accidents",high
garbage,residential,3,Pile of household waste blocking pedestrian path. immediate attention needed,high
drainage,alley,11,"Drain clogged, water overflowing onto road. hazardous",high
drainage,residential,30,Standing water near drain after rain,high
garbage,residential,1,Scattered trash on street after collection missed,low
drainage,main_road,6,Sewage backup overflowing onto street. immediate attention needed,high
garbage,residential,3,Pile of household waste blocking pedestrian path. low priority,high
drainage,alley,24,Standing water near drain after rain,high
pothole,main_road,12,Small pothole near the curb,high
pothole,main_road,12,Small pothole near the curb. causing accidents,high
garbage,highway,4,Scattered trash on street after collection missed. hazardous not urgent,high
garbage,main_road,3,"Overflowing garbage bin, foul smell",high
drainage,highway,2,"Drain clogged, water overflowing onto road. causing accidents not urgent",high
streetlight,highway,0,"Streetlight intermittent, safety concern",high
pothole,highway,14,"Large pothole on the road, car damage likely. needs quick fix",high
pothole,residential,11,"Large pothole on the road, car damage likely. needs quick fix not urgent",high
garbage,alley,57,"Overflowing garbage bin, foul smell. not urgent",high
drainage,main_road,39,Standing water near drain after rain. hazardous causing accidents,high
streetlight,alley,5,Light out on the main road intersection,medium
pothole,residential,10,"Pothole filled with water, hidden hazard. causing accidents",high
drainage,highway,20,Drainage blocked with garbage and leaves,high
garbage,residential,13,Illegal dumping near drainage,high
drainage,highway,1,Standing water near drain after rain. please fix soon,low
pothole,alley,4,Multiple potholes across the lane. causing accidents,high
pothole,main_road,0,Deep pothole causing vibration to vehicles. urgent,low
drainage,alley,21,Standing water near drain after rain,high
drainage,main_road,6,"Open drainage cover, dangerous for pedestrians",high
streetlight,highway,1,Pole lamp broken and leaning,high
drainage,alley,7,Sewage backup overflowing onto street. needs quick fix urgent,high
drainage,main_road,6,"Drain clogged, water overflowing onto road. causing accidents",high
drainage,residential,3,"Open drainage cover, dangerous for pedestrians",medium
streetlight,highway,0,"Streetlight not working at night, area dark. hazardous",high
streetlight,highway,7,Pole lamp broken and leaning,high
pothole,residential,5,Small pothole near the curb. hazardous,high
garbage,alley,10,Scattered trash on street after collection missed. low priority,medium
drainage,alley,5,Standing water near drain after rain,high
drainage,highway,13,Sewage backup overflowing onto street. urgent,high
streetlight,main_road,5,"Streetlight intermittent, safety concern. needs quick fix immediate attention needed",medium
drainage,residential,5,Standing water near drain after rain. immediate attention needed,high
streetlight,alley,14,"Streetlight not working at night, area dark. causing accidents",high
streetlight,residential,3,"Streetlight not working at night, area dark. needs quick fix",medium
garbage,main_road,1,Pile of household waste blocking pedestrian path,high
garbage,highway,0,Pile of household waste blocking pedestrian path,high
drainage,main_road,9,Drainage blocked with garbage and leaves. urgent,high
streetlight,residential,6,"Streetlight not working at night, area dark. hazardous",high
drainage,highway,8,Sewage backup overflowing onto street,high
streetlight,alley,1,"Streetlight not working at night, area dark",low
garbage,main_road,1,"Overflowing garbage bin, foul smell. causing accidents",high
garbage,residential,0,Scattered trash on street after collection missed. immediate attention needed needs quick fix,low
drainage,highway,3,Standing water near drain after rain. immediate attention needed,medium
garbage,main_road,6,"Overflowing garbage bin, foul smell. hazardous",high
pothole,alley,3,"Large pothole on the road, car damage likely. not urgent",medium
streetlight,highway,4,"Streetlight intermittent, safety concern. low priority",high
streetlight,main_road,16,Light out on the main road intersection. needs quick fix,medium
drainage,residential,2,Sewage backup overflowing onto street. immediate attention needed low priority,high
garbage,main_road,5,Illegal dumping near drainage. not urgent,high
garbage,alley,10,Illegal dumping near drainage,medium
pothole,alley,3,"Large pothole on the road, car damage likely",medium
drainage,highway,6,Drainage blocked with garbage and leaves. hazardous,high
drainage,main_road,13,"Drain clogged, water overflowing onto road",high
garbage,main_road,20,"Garbage dumped near sidewalk, attracting animals",high
pothole,highway,1,"Pothole filled with water, hidden hazard",low
streetlight,alley,18,"Streetlight not working at night, area dark",medium
garbage,highway,4,Pile of household waste blocking pedestrian path. immediate attention needed,high
pothole,residential,2,Multiple potholes across the lane,low
streetlight,alley,4,Light out on the main road intersection,medium
drainage,residential,27,Drainage blocked with garbage and leaves. not urgent low priority,high
drainage,highway,4,Drainage blocked with garbage and leaves,high
pothole,residential,2,Small pothole near the curb. needs quick fix,low
pothole,main_road,7,Deep pothole causing vibration to vehicles. needs quick fix,medium
streetlight,residential,1,Light out on the main road intersection. needs quick fix,low
drainage,alley,0,Drainage blocked with garbage and leaves,low
pothole,main_road,0,"Large pothole on the road, car damage likely. not urgent urgent",low
drainage,main_road,0,"Open drainage cover, dangerous for pedestrians",low
garbage,highway,1,Scattered trash on street after collection missed,low
garbage,alley,1,"Overflowing garbage bin, foul smell",high
garbage,alley,7,"Garbage dumped near sidewalk, attracting animals",medium
streetlight,residential,1,"Flickering streetlight, sparks visible",high
pothole,residential,2,"Large pothole on the road, car damage likely. hazardous",high
drainage,main_road,15,"Open drainage cover, dangerous for pedestrians",high
garbage,highway,4,"Overflowing garbage bin, foul smell. hazardous",high
